Team1,Score1,Team2,Score2,point_differential
Great Britain Open,15,"Hong Kong, China Open",1,14
Great Britain Open,15,Austria Open,9,6
United States of America Open,15,"Hong Kong, China Open",5,10
United States of America Open,15,Great Britain Open,6,9
Austria Open,15,"Hong Kong, China Open",3,12
Japan Open,14,France Open,13,1
Belgium Open,15,People's Republic of China Open,5,10
Japan Open,15,People's Republic of China Open,5,10
Belgium Open,15,France Open,11,4
Japan Open,12,Belgium Open,14,2
France Open,15,People's Republic of China Open,6,9
Australia Open,15,New Zealand Open,10,5
Germany Open,15,Singapore Open,5,10
Germany Open,15,New Zealand Open,12,3
Australia Open,15,Singapore Open,4,11
New Zealand Open,15,Singapore Open,8,7
Australia Open,14,Germany Open,13,1
Canada Open,15,Italy Open,5,10
Colombia Open,15,Chinese Taipei Open,8,7
Canada Open,15,Chinese Taipei Open,3,12
Colombia Open,15,Italy Open,7,8
Italy Open,15,Chinese Taipei Open,14,1
Canada Open,15,Colombia Open,8,7
United States of America Open,15,Japan Open,7,8
Australia Open,15,Colombia Open,6,9
Japan Open,5,Australia Open,15,10
United States of America Open,15,Colombia Open,5,10
United States of America Open,15,Australia Open,8,7
Japan Open,11,Colombia Open,15,4
Great Britain Open,10,Belgium Open,15,5
Germany Open,13,Canada Open,11,2
Belgium Open,15,Germany Open,10,5
Great Britain Open,15,Canada Open,11,4
Great Britain Open,14,Germany Open,13,1
Belgium Open,9,Canada Open,15,6
Singapore Open,12,Italy Open,13,1
"Hong Kong, China Open",1,France Open,15,14
France Open,15,Singapore Open,8,7
"Hong Kong, China Open",5,Italy Open,15,10
"Hong Kong, China Open",9,Singapore Open,15,6
France Open,15,Italy Open,3,12
Austria Open,15,People's Republic of China Open,3,12
New Zealand Open,15,Chinese Taipei Open,7,8
Austria Open,12,Chinese Taipei Open,9,3
People's Republic of China Open,3,New Zealand Open,15,12
Austria Open,8,New Zealand Open,15,7
People's Republic of China Open,11,Chinese Taipei Open,13,2
Japan Open,15,New Zealand Open,12,3
Canada Open,15,France Open,11,4
Colombia Open,15,Austria Open,6,9
Germany Open,15,Italy Open,9,6
Australia Open,15,Germany Open,10,5
United States of America Open,15,Canada Open,8,7
Great Britain Open,15,Colombia Open,8,7
Belgium Open,14,Japan Open,15,1
Canada Open,15,Colombia Open,7,8
Belgium Open,12,Germany Open,14,2
Japan Open,14,Australia Open,8,6
United States of America Open,15,Great Britain Open,8,7
Canada Open,15,Germany Open,11,4
Colombia Open,11,Belgium Open,15,4
Great Britain Open,12,Australia Open,15,3
United States of America Open,15,Japan Open,4,11
New Zealand Open,15,"Hong Kong, China Open",6,9
France Open,15,People's Republic of China Open,4,11
Austria Open,15,Singapore Open,9,6
Italy Open,15,Chinese Taipei Open,12,3
France Open,15,Austria Open,13,2
"Hong Kong, China Open",14,Chinese Taipei Open,15,1
People's Republic of China Open,14,Singapore Open,9,5
New Zealand Open,15,Italy Open,10,5
New Zealand Open,15,France Open,12,3
Italy Open,15,Austria Open,14,1
Chinese Taipei Open,13,People's Republic of China Open,10,3
"Hong Kong, China Open",12,Singapore Open,15,3
